MODELYEAR,Brands,VEHICLECLASS,ENGINESIZE,CYLINDERS,TRANSMISSION,FUELTYPE,FUELCONSUMPTION_CITY,FUELCONSUMPTION_HWY,FUELCONSUMPTION_COMB,FUELCONSUMPTION_COMB_MPG,CO2EMISSIONS
2014,AUDI,MID_SIZE,3,6,AS8,Z,13.1,8.8,11.2,25,258
2014,AUDI,MID_SIZE,4,8,AS8,Z,13.5,8.6,11.3,25,260
2014,AUDI,MID_SIZE,3,6,AS8,D,10,6.4,8.4,34,227
2014,AUDI,FULL_SIZE,3,6,AS8,Z,13.1,8.8,11.2,25,258
2014,AUDI,FULL_SIZE,4,8,AS8,Z,14.7,9.7,12.5,23,288
2014,AUDI,FULL_SIZE,6.3,12,AS8,Z,18.2,12.6,15.7,18,361
2014,AUDI,FULL_SIZE,3,6,AS8,D,10.1,6.5,8.5,33,230
2014,AUDI,STATION_WAGON_SMALL,2,4,AS8,Z,11.8,8.8,10.5,27,242
2014,AUDI,SUV_SMALL,2,4,AS8,Z,12,8.5,10.4,27,239
2014,AUDI,SUV_SMALL,3,6,AS8,Z,12.9,9.2,11.2,25,258
2014,AUDI,SUV_SMALL,2,4,AS8,Z,9.9,8.3,9.2,31,212
2014,AUDI,SUV_SMALL,3,6,AS8,D,10.3,7.6,9.1,31,246
2014,AUDI,SUV_STANDARD,3,6,AS8,Z,15.1,10.9,13.2,21,304
2014,AUDI,SUV_STANDARD,3,6,AS8,D,12.9,8.4,10.9,26,294
2014,AUDI,TWO-SEATER,4.2,8,A7,Z,17.6,11,14.6,19,336
2014,AUDI,TWO-SEATER,4.2,8,M6,Z,21.2,13.4,17.7,16,407
2014,AUDI,TWO-SEATER,5.2,10,A7,Z,18.8,11.3,15.4,18,354
2014,AUDI,TWO-SEATER,5.2,10,M6,Z,21.1,13.8,17.8,16,409
2014,AUDI,TWO-SEATER,4.2,8,A7,Z,17.6,11,14.6,19,336
2014,AUDI,TWO-SEATER,4.2,8,M6,Z,21.2,13.4,17.7,16,407
2014,AUDI,TWO-SEATER,5.2,10,A7,Z,18.8,11.3,15.4,18,354
2014,AUDI,TWO-SEATER,5.2,10,M6,Z,21.1,13.8,17.8,16,409
2014,AUDI,SUBCOMPACT,4.2,8,A7,Z,15.3,10.9,13.3,21,306
2014,AUDI,SUBCOMPACT,4.2,8,A7,Z,15.2,11.3,13.4,21,308
2014,AUDI,MID_SIZE,4,8,AS8,Z,15.3,9.3,12.6,22,290
2014,AUDI,COMPACT,3,6,A7,Z,13.2,9.2,11.4,25,262
2014,AUDI,COMPACT,3,6,M6,Z,14.6,9.8,12.4,23,285
2014,AUDI,SUBCOMPACT,3,6,A7,Z,13.2,9.2,11.4,25,262
2014,AUDI,SUBCOMPACT,3,6,M6,Z,14.6,9.8,12.4,23,285
2014,AUDI,SUBCOMPACT,3,6,A7,Z,13.3,9.5,11.6,24,267
2014,AUDI,MID_SIZE,4,8,A7,Z,14.2,9.7,12.2,23,281
2014,AUDI,MID_SIZE,4,8,A7,Z,14.2,9.7,12.2,23,281
2014,AUDI,MID_SIZE,4,8,AS8,Z,15.4,9.8,12.9,22,297
2014,AUDI,SUV_SMALL,3,6,AS8,Z,14.9,10.1,12.7,22,292
2014,AUDI,SUBCOMPACT,2,4,A6,Z,10.4,7.6,9.1,31,209
2014,AUDI,TWO-SEATER,2,4,A6,Z,10.4,7.6,9.1,31,209
2014,AUDI,SUBCOMPACT,2,4,A6,Z,11.5,8.8,10.3,27,237
2014,AUDI,TWO-SEATER,2,4,A6,Z,11.5,8.8,10.3,27,237
2014,BENTLEY,SUBCOMPACT,4,8,AS8,Z,15.4,9.8,12.9,22,297
2014,BENTLEY,SUBCOMPACT,6,12,AS8,Z,18.8,11.5,15.5,18,356
2014,BENTLEY,SUBCOMPACT,4,8,AS8,Z,16.8,10.3,13.9,20,320
2014,BENTLEY,SUBCOMPACT,6,12,AS8,Z,20,12.2,16.5,17,380
2014,BENTLEY,SUBCOMPACT,4,8,AS8,Z,16.7,10.6,14,20,322
2014,BENTLEY,SUBCOMPACT,6,12,AS8,Z,20,12.2,16.5,17,380
2014,BENTLEY,MID_SIZE,6,12,AS8,Z,20,12.2,16.5,17,380
2014,BENTLEY,MID_SIZE,6.8,8,AS8,Z,22.3,14.9,19,15,437
2014,BMW,COMPACT,2,4,A8,Z,10,6.5,8.4,34,193
2014,BMW,COMPACT,2,4,M6,Z,10.4,6.7,8.7,32,200
2014,BMW,COMPACT,2,4,A8,Z,10.2,7,8.8,32,202
2014,BMW,COMPACT,2,4,A8,D,7.6,5.5,6.7,42,181
2014,BMW,STATION_WAGON_SMALL,2,4,A8,D,7.6,5.5,6.7,42,181
2014,BMW,COMPACT,2,4,A8,Z,10,6.5,8.4,34,193
2014,BMW,COMPACT,2,4,M6,Z,10.4,6.7,8.7,32,200
2014,BMW,COMPACT,2,4,A8,Z,10.6,7.2,9.1,31,209
2014,BMW,FULL_SIZE,2,4,A8,Z,10.6,7.2,9.1,31,209
2014,BMW,STATION_WAGON_SMALL,2,4,A8,Z,10.6,7.2,9.1,31,209
2014,BMW,COMPACT,3,6,A8,Z,11.4,7.3,9.6,29,221
2014,BMW,COMPACT,3,6,M6,Z,11.8,7.9,10,28,230
2014,BMW,COMPACT,3,6,A8,Z,11.7,7.8,9.9,29,228
2014,BMW,COMPACT,3,6,M6,Z,11.9,8.3,10.3,27,237
2014,BMW,FULL_SIZE,3,6,A8,Z,11.9,8,10.1,28,232
2014,BMW,COMPACT,2,4,A8,Z,10,6.5,8.4,34,193
2014,BMW,COMPACT,2,4,M6,Z,10.4,6.7,8.7,32,200
2014,BMW,COMPACT,2,4,A8,Z,10.6,7.2,9.1,31,209
2014,BMW,COMPACT,3,6,A8,Z,11.4,7.3,9.6,29,221
2014,BMW,COMPACT,3,6,M6,Z,11.8,7.9,10,28,230
2014,BMW,COMPACT,3,6,A8,Z,11.7,7.8,9.9,29,228
2014,BMW,COMPACT,3,6,M6,Z,11.9,8.3,10.3,27,237
2014,BMW,MID_SIZE,2,4,A8,Z,10.2,7,8.8,32,202
2014,BMW,MID_SIZE,2,4,A8,Z,10.6,7.2,9.1,31,209
2014,BMW,MID_SIZE,3,6,A8,D,9.2,6.4,7.9,36,213
2014,BMW,MID_SIZE,3,6,A8,Z,11.9,8,10.1,28,232
2014,BMW,FULL_SIZE,3,6,A8,Z,12.5,8.6,10.7,26,246
2014,BMW,MID_SIZE,4.4,8,A8,Z,14.4,9.6,12.2,23,281
2014,BMW,FULL_SIZE,4.4,8,A8,Z,15,9.8,12.7,22,292
2014,BMW,COMPACT,3,6,A8,Z,11.9,8,10.1,28,232
2014,BMW,SUBCOMPACT,4.4,8,A8,Z,15,9.8,12.7,22,292
2014,BMW,COMPACT,4.4,8,A8,Z,14.4,9.6,12.2,23,281
2014,BMW,COMPACT,4.4,8,A8,Z,15,9.8,12.7,22,292
2014,BMW,FULL_SIZE,3,6,A8,Z,12.5,8.6,10.7,26,246
2014,BMW,FULL_SIZE,4.4,8,A8,Z,15,9.8,12.7,22,292
2014,BMW,FULL_SIZE,4.4,8,A8,Z,15,9.8,12.7,22,292
2014,BMW,FULL_SIZE,6,12,A8,Z,18.7,11.5,15.5,18,356
2014,BMW,COMPACT,3,6,A8,Z,9.2,7.1,8.3,34,191
2014,BMW,MID_SIZE,3,6,A8,Z,10.5,7.9,9.3,30,214
2014,BMW,FULL_SIZE,3,6,A8,Z,10.5,7.6,9.2,31,212
2014,BMW,FULL_SIZE,4.4,8,A8,Z,15,9.8,12.7,22,292
2014,BMW,FULL_SIZE,4.4,8,A8,Z,15,9.8,12.7,22,292
2014,BMW,MID_SIZE,4.4,8,AM7,Z,17.3,11.5,14.7,19,338
2014,BMW,MID_SIZE,4.4,8,M6,Z,16.2,10.9,13.8,20,317
2014,BMW,COMPACT,4.4,8,AM7,Z,17.3,11.5,14.7,19,338
2014,BMW,COMPACT,4.4,8,M6,Z,16.2,10.9,13.8,20,317
2014,BMW,SUBCOMPACT,4.4,8,AM7,Z,17.3,11.5,14.7,19,338
2014,BMW,SUBCOMPACT,4.4,8,M6,Z,16.2,10.9,13.8,20,317
2014,BMW,COMPACT,4.4,8,AM7,Z,17.3,11.5,14.7,19,338
2014,BMW,COMPACT,4.4,8,M6,Z,16.2,10.9,13.8,20,317
2014,BMW,SUV_SMALL,2,4,A8,Z,10.6,7.2,9.1,31,209
2014,BMW,SUV_SMALL,3,6,A6,Z,13.2,8.9,11.3,25,260
2014,BMW,SUV_SMALL,2,4,A8,Z,11.2,8.5,10,28,230
2014,BMW,SUV_SMALL,3,6,A8,Z,12.6,9.1,11,26,253
2014,BMW,SUV_STANDARD,3,6,A8,Z,12.9,8.8,11.1,25,255
2014,BMW,SUV_STANDARD,4.4,8,A8,Z,16.3,10.9,13.9,20,320
2014,BMW,SUV_STANDARD,4.4,8,A6,Z,18.1,13.7,16.1,18,370
2014,BMW,SUV_STANDARD,3,6,A8,Z,13.6,9.8,11.9,24,274
2014,BMW,SUV_STANDARD,4.4,8,A8,Z,16.4,11.3,14.1,20,324
2014,BMW,TWO-SEATER,2,4,A8,Z,10.8,7.1,9.1,31,209
2014,BMW,TWO-SEATER,2,4,M6,Z,10.4,6.7,8.7,32,200
2014,BMW,TWO-SEATER,3,6,AM7,Z,13.7,10.1,12.1,23,278
2014,BMW,TWO-SEATER,3,6,M6,Z,12.7,9,11,26,253
2014,BMW,TWO-SEATER,3,6,AM7,Z,13.7,10.1,12.1,23,278
2014,BUICK,SUV_STANDARD,3.6,6,A6,X,14.3,9.9,12.3,23,283
2014,BUICK,SUV_STANDARD,3.6,6,A6,X,14.6,10.2,12.6,22,290
2014,BUICK,SUV_SMALL,1.4,4,AS6,X,9.5,7.2,8.5,33,196
2014,BUICK,SUV_SMALL,1.4,4,AS6,X,10.2,8,9.2,31,212
2014,BUICK,MID_SIZE,3.6,6,AS6,X,13.7,8.7,11.5,25,264
2014,BUICK,MID_SIZE,3.6,6,AS6,E,18.4,12.2,15.6,18,250
2014,BUICK,MID_SIZE,3.6,6,AS6,X,13.7,8.9,11.5,25,264
2014,BUICK,MID_SIZE,3.6,6,AS6,E,19.4,13,16.5,17,264
2014,BUICK,MID_SIZE,2.4,4,AS6,X,9.6,6.5,8.2,34,189
2014,BUICK,MID_SIZE,2,4,AS6,Z,11.5,7.9,9.9,29,228
2014,BUICK,MID_SIZE,2,4,M6,Z,11.6,7.5,9.8,29,225
2014,BUICK,MID_SIZE,2,4,AS6,Z,12.3,8.7,10.7,26,246
2014,BUICK,MID_SIZE,2.4,4,AS6,X,9.6,6.5,8.2,34,189
2014,BUICK,COMPACT,2,4,AS6,Z,11.5,7.9,9.9,29,228
2014,BUICK,COMPACT,2,4,M6,Z,11.6,7.5,9.8,29,225
2014,BUICK,COMPACT,2.4,4,AS6,X,11.3,7.4,9.5,30,218
2014,CADILLAC,COMPACT,2,4,AS6,Z,11.3,7.5,9.6,29,221
2014,CADILLAC,COMPACT,2,4,M6,Z,12.1,7.9,10.2,28,235
2014,CADILLAC,COMPACT,2.5,4,AS6,X,10.5,7.2,9,31,207
2014,CADILLAC,COMPACT,3.6,6,AS6,X,12.8,8.5,10.9,26,251
2014,CADILLAC,COMPACT,2,4,AS6,Z,11.8,8.1,10.1,28,232
2014,CADILLAC,COMPACT,3.6,6,AS6,X,13.1,9,11.3,25,260
2014,CADILLAC,MID_SIZE,3.6,6,AS6,X,13.2,8.7,11.2,25,258
2014,CADILLAC,MID_SIZE,3.6,6,AS6,X,13.3,9,11.4,25,262
2014,CADILLAC,MID_SIZE,2,4,AS6,Z,11.9,7.9,10.1,28,232
2014,CADILLAC,MID_SIZE,3.6,6,AS8,X,12.9,8.2,10.8,26,248
2014,CADILLAC,MID_SIZE,2,4,AS6,Z,12.6,8.5,10.8,26,248
2014,CADILLAC,MID_SIZE,3.6,6,AS6,X,13.1,9,11.3,25,260
2014,CADILLAC,MID_SIZE,3.6,6,AS8,Z,15.1,9.9,12.8,22,294
2014,CADILLAC,STATION_WAGON_SMALL,3,6,AS6,X,12.7,8.9,11,26,253
2014,CADILLAC,STATION_WAGON_SMALL,3.6,6,AS6,X,13.3,8.9,11.3,25,260
2014,CADILLAC,STATION_WAGON_SMALL,3,6,AS6,X,12.8,9.1,11.1,25,255
2014,CADILLAC,STATION_WAGON_SMALL,3.6,6,AS6,X,13.3,9,11.4,25,262
2014,CADILLAC,MID_SIZE,6.2,8,AS6,Z,19.7,12.9,16.6,17,382
2014,CADILLAC,MID_SIZE,6.2,8,M6,Z,16.7,12.5,14.8,19,340
2014,CADILLAC,MID_SIZE,6.2,8,AS6,Z,19.7,12.9,16.6,17,382
2014,CADILLAC,MID_SIZE,6.2,8,M6,Z,16.7,12.5,14.8,19,340
2014,CADILLAC,STATION_WAGON_SMALL,6.2,8,AS6,Z,19.7,12.9,16.6,17,382
2014,CADILLAC,STATION_WAGON_SMALL,6.2,8,M6,Z,16.7,12.5,14.8,19,340
2014,CADILLAC,SUV_STANDARD,6.2,8,A6,Z,17,11.8,14.7,19,338
2014,CADILLAC,SUV_STANDARD,6.2,8,A6,E,23.3,16.1,20.1,14,322
2014,CADILLAC,SUV_STANDARD,6.2,8,A6,Z,18.8,13.4,16.4,17,377
2014,CADILLAC,SUV_STANDARD,6.2,8,A6,E,25.7,17.8,22.1,13,354
2014,CADILLAC,SUV_STANDARD,3.6,6,AS6,X,14.3,9.8,12.3,23,283
2014,CADILLAC,SUV_STANDARD,3.6,6,AS6,X,14.8,10.4,12.8,22,294
2014,CADILLAC,FULL_SIZE,3.6,6,AS6,X,13.6,8.6,11.4,25,262
2014,CADILLAC,FULL_SIZE,3.6,6,AS6,X,14,9.1,11.8,24,271
2014,CADILLAC,FULL_SIZE,3.6,6,AS6,Z,14.8,9.8,12.6,22,290
2014,CHEVROLET,COMPACT,3.6,6,AS6,X,13.2,8.7,11.2,25,258
2014,CHEVROLET,COMPACT,3.6,6,M6,X,14.2,8.6,11.7,24,269
2014,CHEVROLET,COMPACT,3.6,6,AS6,X,12.7,7.9,10.5,27,242
2014,CHEVROLET,COMPACT,6.2,8,AS6,Z,15.3,9.8,12.8,22,294
2014,CHEVROLET,COMPACT,6.2,8,M6,Z,15,9.9,12.7,22,292
2014,CHEVROLET,COMPACT,6.2,8,AS6,Z,19.7,12.9,16.6,17,382
2014,CHEVROLET,COMPACT,6.2,8,M6,Z,16.7,12.5,14.8,19,340
2014,CHEVROLET,TWO-SEATER,6.2,8,AS6,Z,14.9,8.5,12,24,276
2014,CHEVROLET,TWO-SEATER,6.2,8,M7,Z,13.7,8.2,11.2,25,258
2014,CHEVROLET,MID_SIZE,1.4,4,AS6,X,9.1,6.3,7.8,36,179
2014,CHEVROLET,MID_SIZE,1.4,4,M6,X,9.1,6.3,7.8,36,179
2014,CHEVROLET,MID_SIZE,1.8,4,AS6,X,10.5,6.7,8.8,32,202
2014,CHEVROLET,MID_SIZE,1.8,4,M6,X,9.5,6.5,8.2,34,189
2014,CHEVROLET,MID_SIZE,2,4,AS6,D,8.7,5.1,7.1,40,192
2014,CHEVROLET,MID_SIZE,1.4,4,A6,X,9.1,6,7.7,37,177
2014,CHEVROLET,MID_SIZE,1.4,4,M6,X,8.4,5.6,7.1,40,163
2014,CHEVROLET,SUV_SMALL,2.4,4,A6,X,10.5,7.3,9.1,31,209
2014,CHEVROLET,SUV_SMALL,3.6,6,A6,X,13.9,9.6,12,24,276
2014,CHEVROLET,SUV_SMALL,3.6,6,A6,E,18.8,13.1,16.2,17,259
2014,CHEVROLET,SUV_SMALL,2.4,4,A6,X,11.5,8.2,10,28,230
2014,CHEVROLET,SUV_SMALL,3.6,6,A6,X,14.8,9.9,12.6,22,290
2014,CHEVROLET,SUV_SMALL,3.6,6,A6,E,19.8,13.6,17,17,272
2014,CHEVROLET,VAN_CARGO,4.3,6,A4,X,17.1,12.7,15.1,19,347
2014,CHEVROLET,VAN_CARGO,5.3,8,A4,X,18,13.4,15.9,18,366
2014,CHEVROLET,VAN_CARGO,5.3,8,A4,E,23.5,17.7,20.9,14,334
2014,CHEVROLET,VAN_CARGO,5.3,8,A4,X,18.3,14.2,16.5,17,380
2014,CHEVROLET,VAN_CARGO,5.3,8,A4,E,23.7,18.8,21.5,13,344
2014,CHEVROLET,VAN_CARGO,5.3,8,A4,X,18.6,13.9,16.5,17,380
2014,CHEVROLET,VAN_CARGO,5.3,8,A4,E,23.9,18.5,21.5,13,344
2014,CHEVROLET,VAN_CARGO,5.3,8,A4,X,18.3,14.2,16.5,17,380
2014,CHEVROLET,VAN_CARGO,5.3,8,A4,E,25.3,19.3,22.6,12,362
2014,CHEVROLET,VAN_PASSENGER,5.3,8,A4,X,18.6,13.9,16.5,17,380
2014,CHEVROLET,VAN_PASSENGER,5.3,8,A4,E,23.9,18.5,21.5,13,344
2014,CHEVROLET,VAN_PASSENGER,5.3,8,A4,X,18.3,14.2,16.5,17,380
2014,CHEVROLET,VAN_PASSENGER,5.3,8,A4,E,25.3,19.3,22.6,12,362
2014,CHEVROLET,VAN_PASSENGER,4.8,8,A6,X,21.1,14.2,18,16,414
2014,CHEVROLET,VAN_PASSENGER,6,8,A6,X,21.9,15,18.8,15,432
2014,CHEVROLET,VAN_PASSENGER,6,8,A6,E,30,20.4,25.7,11,411
2014,CHEVROLET,VAN_PASSENGER,4.8,8,A6,X,21.3,14.3,18.2,16,419
2014,CHEVROLET,VAN_PASSENGER,6,8,A6,X,22.1,15,18.9,15,435
2014,CHEVROLET,VAN_PASSENGER,6,8,A6,E,30.2,20.5,25.8,11,413
2014,CHEVROLET,FULL_SIZE,2.5,4,AS6,X,11.3,7.5,9.6,29,221
2014,CHEVROLET,FULL_SIZE,3.6,6,AS6,X,12.6,8.2,10.6,27,244
2014,CHEVROLET,FULL_SIZE,3.6,6,AS6,E,16.7,11.3,14.3,20,229
2014,CHEVROLET,FULL_SIZE,2.4,4,AS6,X,10,7,8.7,32,200
2014,CHEVROLET,MID_SIZE,2,4,AS6,Z,11.5,7.9,9.9,29,228
2014,CHEVROLET,MID_SIZE,2.5,4,AS6,X,9.3,6.4,8,35,184
2014,CHEVROLET,SUV_SMALL,2.4,4,AS6,X,12.2,8.6,10.6,27,244
2014,CHEVROLET,SUV_SMALL,2.4,4,M6,X,11.8,8.3,10.2,28,235
2014,CHEVROLET,PICKUP TRUCK_STANDARD,4.3,6,A6,X,13.4,9.9,11.8,24,271
2014,CHEVROLET,PICKUP TRUCK_STANDARD,4.3,6,A6,E,18.9,14.2,16.8,17,269
2014,CHEVROLET,PICKUP TRUCK_STANDARD,5.3,8,A6,X,14.6,10.3,12.7,22,292
2014,CHEVROLET,PICKUP TRUCK_STANDARD,5.3,8,A6,E,19.5,13.7,16.9,17,270
2014,CHEVROLET,PICKUP TRUCK_STANDARD,6.2,8,A6,Z,16.3,11.4,14.1,20,324
2014,CHEVROLET,PICKUP TRUCK_STANDARD,4.3,6,A6,X,14.2,10.6,12.6,22,290
2014,CHEVROLET,PICKUP TRUCK_STANDARD,4.3,6,A6,E,20,15.1,17.8,16,285
2014,CHEVROLET,PICKUP TRUCK_STANDARD,5.3,8,A6,X,14.9,10.6,13,22,299
2014,CHEVROLET,PICKUP TRUCK_STANDARD,5.3,8,A6,E,19.9,14.2,17.3,16,277
2014,CHEVROLET,PICKUP TRUCK_STANDARD,6.2,8,A6,Z,16.4,11.7,14.3,20,329
2014,CHEVROLET,COMPACT,1.4,4,AS6,X,9.1,6.7,8,35,184
2014,CHEVROLET,COMPACT,1.4,4,M6,X,8.5,6.2,7.5,38,173
2014,CHEVROLET,COMPACT,1.8,4,AS6,X,9.6,6.6,8.3,34,191
2014,CHEVROLET,COMPACT,1.8,4,M5,X,8.9,6.7,7.9,36,182
2014,CHEVROLET,MID_SIZE,1.4,4,AS6,X,9.1,6.7,8,35,184
2014,CHEVROLET,MID_SIZE,1.4,4,M6,X,8.5,6.2,7.5,38,172
2014,CHEVROLET,MID_SIZE,1.8,4,AS6,X,9.6,6.6,8.3,34,191
2014,CHEVROLET,MID_SIZE,1.8,4,M5,X,8.9,6.7,7.9,36,182
2014,CHEVROLET,MID_SIZE,1.4,4,AS6,X,9.4,7,8.3,34,191
2014,CHEVROLET,MID_SIZE,1.4,4,M6,X,8.7,7,7.9,36,182
2014,CHEVROLET,COMPACT,1.4,4,AS6,X,9.4,7,8.3,34,191
2014,CHEVROLET,COMPACT,1.4,4,M6,X,8.7,7,7.9,36,182
2014,CHEVROLET,SUBCOMPACT,1.2,4,AV,X,7.7,6,6.9,41,159
2014,CHEVROLET,SUBCOMPACT,1.2,4,M5,X,7.6,6,6.9,41,159
2014,CHEVROLET,SUV_STANDARD,5.3,8,A6,X,16,11.1,13.8,20,317
2014,CHEVROLET,SUV_STANDARD,5.3,8,A6,E,21.5,14.6,18.4,15,294
2014,CHEVROLET,SUV_STANDARD,5.3,8,A6,X,16,11.1,13.8,20,317
2014,CHEVROLET,SUV_STANDARD,5.3,8,A6,E,21.5,14.6,18.4,15,294
2014,CHEVROLET,SUV_STANDARD,5.3,8,A6,X,16,11.1,13.8,20,317
2014,CHEVROLET,SUV_STANDARD,5.3,8,A6,E,21.5,14.6,18.4,15,294
2014,CHEVROLET,SUV_STANDARD,5.3,8,A6,X,16,11.1,13.8,20,317
2014,CHEVROLET,SUV_STANDARD,5.3,8,A6,E,21.5,14.6,18.4,15,294
2014,CHEVROLET,SUV_STANDARD,3.6,6,A6,X,14.3,9.9,12.3,23,283
2014,CHEVROLET,SUV_STANDARD,3.6,6,A6,X,14.6,10.2,12.6,22,290
2014,CHEVROLET,SUV_SMALL,1.4,4,AS6,X,9.4,7.1,8.4,34,193
2014,CHEVROLET,SUV_SMALL,1.4,4,M6,X,9.1,6.8,8.1,35,186
2014,CHEVROLET,SUV_SMALL,1.4,4,AS6,X,10,7.8,9,31,207
2014,CHRYSLER,FULL_SIZE,3.6,6,A8,X,12.4,7.7,10.3,27,237
2014,CHRYSLER,COMPACT,2.4,4,A4,X,11.7,8.2,10.1,28,232
2014,CHRYSLER,COMPACT,2.4,4,A6,X,12.9,8.1,10.7,26,246
2014,CHRYSLER,COMPACT,3.6,6,A6,X,12.5,8.1,10.5,27,242
2014,CHRYSLER,COMPACT,3.6,6,A6,E,17,11.2,14.4,20,230
2014,CHRYSLER,MID_SIZE,2.4,4,A4,X,11.2,8,9.8,29,225
2014,CHRYSLER,MID_SIZE,2.4,4,A6,X,12,7.6,10,28,230
2014,CHRYSLER,MID_SIZE,3.6,6,A6,X,12.5,8.1,10.5,27,242
2014,CHRYSLER,MID_SIZE,3.6,6,A6,E,17,11.2,14.4,20,230
2014,CHRYSLER,FULL_SIZE,5.7,8,A5,X,15.8,9.2,12.8,22,294
2014,CHRYSLER,FULL_SIZE,3.6,6,A8,X,12.8,8.6,10.9,26,251
2014,CHRYSLER,FULL_SIZE,5.7,8,A5,X,16.1,10,13.4,21,308
2014,CHRYSLER,FULL_SIZE,3.6,6,A8,X,12.8,8.6,10.9,26,251
2014,CHRYSLER,FULL_SIZE,3.6,6,A8,E,17.3,11.7,14.8,19,237
2014,CHRYSLER,FULL_SIZE,3.6,6,A8,X,12.4,7.7,10.3,27,237
2014,CHRYSLER,FULL_SIZE,3.6,6,A8,E,16.8,10.3,13.9,20,222
2014,CHRYSLER,FULL_SIZE,6.4,8,A5,Z,16.7,10.3,13.8,20,317
2014,CHRYSLER,MINIVAN,3.6,6,A6,X,14.1,9.5,12,24,276
2014,CHRYSLER,MINIVAN,3.6,6,A6,E,19.7,13.3,16.8,17,269
2014,DODGE,MID_SIZE,2.4,4,A4,X,11.2,8,9.8,29,225
2014,DODGE,MID_SIZE,2.4,4,A6,X,12,7.6,10,28,230
2014,DODGE,MID_SIZE,3.6,6,A6,X,12.5,8.1,10.5,27,242
2014,DODGE,MID_SIZE,3.6,6,A6,E,17,11.2,14.4,20,230
2014,DODGE,MID_SIZE,3.6,6,A5,X,13.2,8.7,11.2,25,258
2014,DODGE,MID_SIZE,5.7,8,M6,X,15.6,10,13.1,22,301
2014,DODGE,MID_SIZE,5.7,8,A5,X,15.8,9.2,12.8,22,294
2014,DODGE,MID_SIZE,6.4,8,M6,Z,16.8,10.4,13.9,20,320
2014,DODGE,MID_SIZE,6.4,8,A5,Z,16.7,10.3,13.8,20,317
2014,DODGE,FULL_SIZE,3.6,6,A5,X,13.2,8.7,11.2,25,258
2014,DODGE,FULL_SIZE,3.6,6,A8,X,12.4,7.7,10.3,27,237
2014,DODGE,FULL_SIZE,5.7,8,A5,X,15.8,9.2,12.8,22,294
2014,DODGE,FULL_SIZE,3.6,6,A8,X,12.8,8.6,10.9,26,251
2014,DODGE,FULL_SIZE,5.7,8,A5,X,16.1,10,13.4,21,308
2014,DODGE,FULL_SIZE,3.6,6,A8,X,12.8,8.6,10.9,26,251
